year,reported_month,region_of_origin,region_of_incident,country_of_origin,total_dead_and_missing,cause_of_death,migration_route,location_of_death,source,unsd_geographical_grouping,lat,lon
2016,1,2,1,60,1,132,US-Mexico border crossing,1137,883,2,19.1787635,-96.2113357
2016,1,6,3,104,1,52,Horn of Africa to Yemen crossing,1443,862,4,8.476128,47.3474798
2016,1,6,9,104,1,132,Afghanistan to Iran,2069,862,8,29.5056218,33.9750461
2016,1,19,5,63,1,33,Eastern Mediterranean,2593,1115,6,66.9299814,30.2313597
2016,1,6,3,104,4,52,Comoros to Mayotte,942,862,4,-4.0597504,39.7015188
2016,1,6,3,104,1,52,Horn of Africa to Yemen crossing,1428,862,4,9.3521044,42.7773712
2016,1,2,1,45,1,132,US-Mexico border crossing,2528,249,2,17.9927635,-92.9881407
2016,1,5,14,74,14,132,Horn of Africa to Yemen crossing,2607,1166,14,-24.1813121,28.9764104
2016,1,6,3,104,2,52,Horn of Africa to Yemen crossing,1418,862,4,9.5488981,44.0293346
2016,1,6,3,104,2,133,Sahara Desert crossing,15,862,4,14.6586717,39.402114
2016,1,0,0,27,1,133,Haiti to Dominican Republic,16,117,0,18.8376763,-70.8791497
2016,1,13,5,80,1,132,Central Mediterranean,145,219,16,43.6178474,13.4913043
2016,1,28,18,100,1,33,Syria to Türkiye,1238,517,19,33.6982498,35.9135246
2016,1,28,18,100,3,33,Syria to Türkiye,1143,517,19,33.8722894,35.3033072
2016,1,19,13,64,35,15,Horn of Africa to Yemen crossing,2588,1041,13,1.5296432,104.2036279
2016,1,2,1,60,1,133,US-Mexico border crossing,1457,1257,2,19.39068,-99.2836983
2016,2,6,9,104,1,33,Afghanistan to Iran,2069,862,8,29.5056218,33.9750461
2016,2,6,3,104,1,66,Horn of Africa to Yemen crossing,993,862,4,9.3521044,42.7773712
2016,2,6,3,104,1,66,Horn of Africa to Yemen crossing,1139,862,4,8.476128,47.3474798
2016,2,14,11,92,1,133,Darien,1705,500,11,-18.23040674,-70.26905825
2016,2,2,1,60,1,132,US-Mexico border crossing,532,642,2,19.32324,-99.2646092
2016,2,6,3,104,1,52,Horn of Africa to Yemen crossing,1377,862,4,10.4325373,44.9946415
2016,2,6,3,104,1,133,Sahara Desert crossing,789,862,4,12.601127,37.4389385
2016,2,0,0,27,26,15,Caribbean to US,921,197,0,9.3247093,-80.0103955
2016,2,2,1,60,1,132,US-Mexico border crossing,2618,187,2,17.9990238,-94.6460713
2016,2,2,1,78,1,132,US-Mexico border crossing,2284,642,2,18.0130692,-94.5394339
2016,2,10,1,104,1,132,US-Mexico border crossing,1628,634,2,18.6751351,-97.6442494
2016,2,6,9,104,6,66,Sahara Desert crossing,100,862,8,30.2723743,19.0741052
2016,2,6,3,104,2,132,Sahara Desert crossing,2529,862,4,-9.102866,32.915691
2016,2,6,3,104,6,133,Sahara Desert crossing,227,862,4,11.5806779,37.3103831
2016,2,10,1,104,1,132,US-Mexico border crossing,2315,206,2,18.2681566,-95.8969461
2016,2,23,9,104,1,133,Sahara Desert crossing,2389,808,8,32.86990958,13.2023246281
2016,3,5,3,24,3,15,Comoros to Mayotte,1171,1254,4,-12.8209326,45.0189863
2016,3,6,3,104,1,66,Horn of Africa to Yemen crossing,1371,862,4,6.7349666,39.7240219
2016,3,10,1,104,1,66,US-Mexico border crossing,453,752,2,19.8937479,-99.4300048
2016,3,13,5,39,1,132,Central Mediterranean,2619,1025,20,48.457552,13.432637
2016,3,2,1,60,1,132,US-Mexico border crossing,1366,1165,2,19.4167798,-98.4471102
2016,3,6,3,104,1,52,Horn of Africa to Yemen crossing,1407,862,4,8.4066579,48.4713577
2016,3,2,1,60,1,132,US-Mexico border crossing,480,259,2,16.474502,-93.2534811
2016,3,10,1,104,1,132,US-Mexico border crossing,1618,1238,2,25.3813561,-100.7909834
2016,3,6,3,104,1,52,Horn of Africa to Yemen crossing,894,862,4,10.4325373,44.9946415
2016,3,6,3,104,1,66,Sahara Desert crossing,1239,862,4,12.9944787,36.1824054
2016,3,10,1,104,1,132,US-Mexico border crossing,2278,873,2,26.0033668,-100.5386708
2016,3,10,1,104,1,132,US-Mexico border crossing,2610,1101,2,26.2690307,-101.1128975
2016,3,10,1,104,1,132,US-Mexico border crossing,2380,1159,2,20.129511,-104.4682014
2016,3,6,9,104,5,52,Afghanistan to Iran,2068,862,8,30.6096738,32.8993266
2016,3,6,9,104,1,52,Sahara Desert crossing,100,862,8,30.2723743,19.0741052
2016,3,10,1,104,1,132,US-Mexico border crossing,2615,635,2,19.0562477,-96.3814844
2016,3,10,1,104,1,132,US-Mexico border crossing,1083,1090,2,19.0459634,-96.4303668
2016,3,2,1,60,1,133,US-Mexico border crossing,1400,697,2,17.2649928,-91.0024625
2016,3,10,1,104,1,52,US-Mexico border crossing,2005,327,2,22.0741876,-102.277884
2016,3,6,3,104,1,66,Horn of Africa to Yemen crossing,419,862,4,1.1344998,42.4662352
2016,3,6,3,104,1,133,Horn of Africa to Yemen crossing,997,862,4,0.4930161,42.7726829
2016,3,2,1,43,4,132,US-Mexico border crossing,885,728,2,15.3179289,-91.4971903
2016,3,2,1,43,1,52,US-Mexico border crossing,367,1015,2,16.2907501,-94.1986669
2016,3,23,9,104,2,66,Sahara Desert crossing,2389,808,8,32.89182212,13.2050712102
2016,3,23,9,104,2,133,Sahara Desert crossing,2100,808,8,32.7811016,12.4495221
2016,4,2,1,43,1,66,US-Mexico border crossing,661,512,2,16.748864,-92.9281107
2016,4,10,1,104,1,132,US-Mexico border crossing,2620,920,2,20.5730306,-100.2090209
2016,4,10,1,104,1,132,Central America to US,728,697,2,17.2645349,-91.001789
2016,4,2,1,60,1,132,US-Mexico border crossing,1823,374,2,19.1787635,-96.2113357
2016,4,2,1,54,1,133,US-Mexico border crossing,2509,976,2,31.355119,-106.049866
2016,4,6,9,104,2,132,Sahara Desert crossing,2069,862,8,29.5056218,33.9750461
2016,4,2,1,60,1,132,US-Mexico border crossing,2223,921,2,17.4520957,-91.4563122
2016,4,6,3,104,1,66,Horn of Africa to Yemen crossing,1372,862,4,6.773055,39.4434898
2016,4,6,3,104,1,52,Horn of Africa to Yemen crossing,1443,862,4,8.476128,47.3474798
2016,4,6,3,104,1,52,Sahara Desert crossing,1491,862,4,-1.6779613,35.1831035
2016,4,10,1,104,1,133,US-Mexico border crossing,505,267,2,14.9267823,-92.5947624
2016,4,2,1,78,1,33,US-Mexico border crossing,1675,342,2,29.1625119,-111.1570932
2016,5,5,3,72,7,15,Comoros to Mayotte,2611,593,4,-12.8209326,45.0189863
2016,5,2,1,78,1,132,US-Mexico border crossing,671,957,2,27.9616696,-110.8172071
2016,5,19,13,82,2,132,Sahara Desert crossing,433,687,13,14.0193696,99.5297976
2016,5,2,1,43,1,52,US-Mexico border crossing,480,510,2,16.474502,-93.2534811
2016,5,10,1,104,1,132,US-Mexico border crossing,2240,1212,2,19.54641,-99.2352955
2016,5,19,1,84,1,66,Darien,861,978,2,9.3674413,-83.7054962
2016,5,2,1,43,1,132,US-Mexico border crossing,1403,957,2,27.9610814,-110.8103048
2016,5,6,3,104,1,66,Horn of Africa to Yemen crossing,1416,862,4,9.3128486,42.1006391
2016,5,6,3,104,2,52,Horn of Africa to Yemen crossing,1155,862,4,-9.374176,39.2070265
2016,5,2,1,43,1,133,US-Mexico border crossing,2206,232,2,14.8982055,-92.3346656
2016,5,2,1,43,1,15,US-Mexico border crossing,1927,383,2,14.8206001,-92.6428276
2016,5,6,3,104,1,133,Horn of Africa to Yemen crossing,88,862,4,0.5134967,42.0688284
2016,5,2,1,54,1,133,US-Mexico border crossing,76,269,2,15.3421711,-92.6855944
2016,5,2,1,60,1,132,US-Mexico border crossing,80,1238,2,29.322646,-101.0053844
2016,5,0,0,27,10,15,Caribbean to US,1603,394,0,25.03552427,-77.5322358105
2016,5,2,1,43,1,132,US-Mexico border crossing,841,226,2,18.2681566,-95.8969461
2016,5,23,9,104,2,133,Sahara Desert crossing,2100,808,8,32.78054234,12.4749279838
2016,5,23,9,104,1,133,Sahara Desert crossing,2575,808,8,32.7630282,12.7227632898
2016,6,6,9,104,3,133,Sahara Desert crossing,2069,862,8,29.5056218,33.9750461
2016,6,2,1,60,1,33,US-Mexico border crossing,1084,365,2,18.1404396,-93.4512256
2016,6,23,5,104,1,132,English Channel to the UK,744,831,20,50.9004579,4.4809999
2016,6,19,13,15,6,132,Afghanistan to Iran,2542,689,13,13.8918745,102.0931065
2016,6,6,3,104,2,133,Horn of Africa to Yemen crossing,310,862,4,2.4783833,44.2508666
